# Drinking fountains and toilets in Berkeley, from OpenStreetMap.
# Retrieved 2026-09-13 via the Overpass API; bbox 37.84,-122.33 to 37.91,-122.23,
# then clipped to points within 120 m of the city's zoning layer.
# Source: OpenStreetMap contributors, ODbL 1.0 (https://www.openstreetmap.org/copyright)
# Regenerate with tools/fetch_amenities.py
id|lat|lon|kind|name|operator|access|fee|opening_hours|wheelchair|indoor|bottle|changing_table|disposal|check_date|desc
n34496815|37.864998|-122.245347|W||||||||||||
n258766858|37.895629|-122.251629|T||||no||||||flush||
n288990501|37.885099|-122.255956|T||||no|Mo-Su 06:00-22:00|no||||||
n288991200|37.885931|-122.26287|T||||||||||||
n306073368|37.860444|-122.299507|W|||||||||||2023-09-02|
n306073369|37.860426|-122.29958|T||||||yes||||flush||
n308299018|37.876662|-122.28849|W||||||||||||
n308301423|37.878183|-122.288664|W||||||||||||
n308302795|37.870468|-122.287039|W||||||||||||
n308302802|37.866786|-122.286387|W||||||||||||
n308302803|37.866792|-122.286405|T||||||||||flush||
n308813316|37.848868|-122.27116|W||||||||||||
n310473251|37.877512|-122.309675|W||||||||||||
n312002188|37.869003|-122.272013|W||||||||||||
n312031036|37.850934|-122.300062|W||||||||||||
n312804520|37.883956|-122.268784|T||||no||yes|||no|flush||Concrete with no solid walls
n312804521|37.883918|-122.268769|W|||||||||||2022-02-02|
n312804704|37.884344|-122.26827|W|||yes|no|||no|no|||2023-05-20|
n332313322|37.892225|-122.272794|W||||||||no|||2023-04-15|Frequently used fountain with a step stool. Unusual in that it has no formal drain: the overflow waters plants.
n339928418|37.885492|-122.261998|T|||yes|no||yes||||flush||
n354228913|37.885327|-122.262417|W||||||||||||
n392186602|37.904529|-122.270412|W||||||||||||
n517872460|37.873013|-122.278083|W||||||||||||
n517872516|37.873026|-122.276433|W||||||||||||
n517872517|37.873275|-122.275347|W||||||||||||
n517872520|37.873675|-122.271856|W||||||||||||
n527744055|37.880944|-122.303965|T||||||||||flush||
n539604086|37.856189|-122.271727|W|||||||||||2025-10-15|
n543928485|37.869251|-122.271091|T||||no||yes|||yes|flush||
n939007755|37.861072|-122.256944|W||||||||no||||
n979998770|37.885485|-122.255421|W|||||Mo-Su 06:00-22:00|||||||
n1303944623|37.881059|-122.303927|W||||||||||||
n1314521399|37.885855|-122.262913|W||||||||no||||In Rose Garden by tennis court
n1314521439|37.887251|-122.278678|W||||||||||||In traffic triangle Monterey and Colusa Streets
n1314521484|37.88356|-122.26962|W|||yes|no|||no|no|||2022-02-02|On basketball court near fence
n1314521534|37.885853|-122.262057|W||||||||no||||Cordonices Park
n1314521566|37.882991|-122.278214|W||||||||no||||Near stairs to running track
n1314521648|37.885508|-122.261997|W||||||||||||Cordonices Park by bathrooms
n1314521803|37.86954|-122.261448|W||||||||||||Inside Alumni House
n1314521916|37.885382|-122.263351|W||||||||yes||||In Rose Garden north side
n1314521946|37.901245|-122.269871|W||||||||no||||Dorothy Bolte Park near playground
n1326065126|37.869898|-122.318944|T|||yes|||||||chemical||
n1504407637|37.877553|-122.288353|W|Cedar Rose Park||||||||||2023-09-12|Near tennis courts
n1601847802|37.873283|-122.29084|W||||||||||||In parking area
n1601847803|37.873892|-122.283383|W|||||||yes|||||Inside paid area at BART. Agent will usually let you in to drink.
n1601847807|37.878914|-122.28379|W||||||yes||||||School yard open to public only during non-school hours.
n1601847809|37.892414|-122.28109|W||||||||||||
n1723439987|37.868908|-122.272431|T||||no||yes||||flush||
n2016837909|37.875297|-122.278434|W|||||Mo-Su 06:00-22:00|||||||
n2350705219|37.89681|-122.27823|W||||||||||||Dog bowl
n2351681856|37.853016|-122.27335|W|||permissive||||||||2026-09-05|Malcolm X School playground near garden; open to public during non-school daytime hours.
n2351681862|37.853382|-122.2738|W|||permissive||||||||2026-09-05|Malcolm X playground; open to public during non-school daytime hours.
n2351681865|37.85481|-122.28392|W|||||||||||2026-07-30|San Pablo Park next to tennis courts
n2351681867|37.855675|-122.2835|W||||||||||||San Pablo Park basketball courts
n2351681869|37.856663|-122.27301|W||||||||yes||||Grove Park playground, open drain fountain
n2351681872|37.866471|-122.284002|W||||||||||||
n2351681875|37.868031|-122.301418|W|||||||yes|||||Truitt & White Lumber, inside near restroom
n2351681877|37.87003|-122.25759|W|||||||yes|||||Barrows Hall first floor, near room 190
n2351681880|37.872234|-122.29742|W||||||||||||
n2411694725|37.892635|-122.263237|T||City of Berkeley|yes|||limited||||chemical||
n2425989842|37.89216|-122.26376|W||||||||||||Cragmont Park
n2477391425|37.855564|-122.256292|W||||||||||||
n2477391426|37.872063|-122.31589|W||City of Berkeley||||||||||
n2525888429|37.867902|-122.286321|W|||||||||||2023-02-25|
n2582763330|37.871974|-122.248123|W||||||||yes||||
n2819388301|37.866924|-122.286386|W||||||||||||
n2932064606|37.880707|-122.259216|W|||yes|no||yes|no|yes||||
n2973521337|37.894631|-122.254363|W||||||||no||||
